h,Open,High,Low,Close,Volume,Adj Close
07/10/2016,157.139999,157.699997,154.860001,155.669998,2671900,153.060209
06/10/2016,156.839996,157.429993,155.889999,156.880005,1950100,154.249931
05/10/2016,157.070007,157.830002,156.720001,157.080002,1684500,154.446575
04/10/2016,157.669998,158.529999,155.820007,156.460007,2884100,153.836974
03/10/2016,158.059998,158.369995,157.020004,157.610001,2227800,154.967688
30/09/2016,158.899994,159.839996,158.059998,158.850006,3596900,156.186905
29/09/2016,158.630005,165,157.460007,158.110001,3374800,155.459306
28/09/2016,156.990005,158.630005,156.229996,158.289993,3310000,155.636281
27/09/2016,154.320007,156.770004,153.809998,156.770004,2987200,154.141774
26/09/2016,154.460007,154.460007,153.460007,153.979996,2533300,151.39854
23/09/2016,155.619995,156.039993,154.710007,154.979996,2702200,152.381775
22/09/2016,156.149994,157.220001,155.690002,156.110001,2691100,153.492835
21/09/2016,154.910004,155.679993,153.869995,155.529999,2473900,152.922557
20/09/2016,155.869995,156.570007,154.449997,154.449997,2159100,151.860661
19/09/2016,154.869995,156.190002,154.550003,154.869995,2450100,152.273618
16/09/2016,155.039993,155.399994,153.470001,153.839996,6463600,151.260887
15/09/2016,154.300003,156.330002,153.210007,155.660004,3645600,153.050383
14/09/2016,155.699997,155.869995,153.389999,154.050003,3860600,151.467373
13/09/2016,157.630005,157.929993,155.5,155.809998,3636700,153.197862
12/09/2016,155.259995,158.529999,154.839996,158.289993,4367500,155.636281
09/09/2016,158.029999,158.399994,155.649994,155.690002,5186000,153.079878
08/09/2016,160.550003,161.210007,158.759995,159,3963200,156.334384
07/09/2016,160.190002,161.759995,160,161.639999,2867300,158.930124
06/09/2016,159.880005,160.860001,159.110001,160.350006,2994100,157.661758
02/09/2016,159.880005,160.570007,159.149994,159.550003,2315400,156.875167
01/09/2016,158.320007,159.619995,158.100006,159.539993,2358400,156.865325
31/08/2016,159.660004,159.660004,158.259995,158.880005,2323600,156.216401
30/08/2016,159.759995,160.149994,158.809998,159.399994,1813300,156.727672
29/08/2016,158.830002,160.210007,158.5,159.720001,2475900,157.042315
26/08/2016,158.880005,160.440002,157.850006,158.320007,2498900,155.665792
25/08/2016,159,159.539993,158.419998,158.630005,2575000,155.970592
24/08/2016,159.889999,160.179993,158.320007,159.050003,3645800,156.383549
23/08/2016,160.330002,161.339996,160.229996,160.259995,2838100,157.573255
22/08/2016,160,160.570007,159.130005,160,2039300,157.317619
19/08/2016,160.839996,160.910004,159.520004,160.039993,2815200,157.356942
18/08/2016,160.889999,162,160.440002,161.360001,3652000,158.65482
17/08/2016,160.970001,161.160004,159.839996,160.440002,3225900,157.750245
16/08/2016,161.110001,161.929993,160.690002,160.699997,2210200,158.005881
15/08/2016,162.399994,162.970001,161.779999,161.880005,2970400,159.166106
12/08/2016,163.190002,163.460007,161.520004,161.949997,2543100,159.234925
11/08/2016,162.25,164.949997,162.179993,163.529999,8768600,160.788438
10/08/2016,162.190002,162.660004,161.960007,162.080002,2466700,159.36275
09/08/2016,162.220001,162.770004,161.649994,161.770004,2737500,159.05795
08/08/2016,162.729996,163.270004,161.580002,162.039993,3039300,159.323412
05/08/2016,162,163.509995,161.570007,163.5,3812400,159.38242
04/08/2016,160.860001,161.699997,160.119995,161.550003,2489100,157.481532
